Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
1990-01-04,2,3,0.2222222222222222,0.6790123456790124,15025.0,15025.0,15025.0,Golden State Warriors,Miami Heat,0,0.0,Thursday,January,0,15025.0
1990-01-04,5,4,0.6956521739130435,0.6103896103896104,18212.0,18212.0,18212.0,New York Knicks,Atlanta Hawks,0,4.0,Thursday,January,0,18212.0
1990-01-05,8,5,0.5833333333333334,0.5405405405405406,16173.0,16173.0,17007.0,Dallas Mavericks,Philadelphia 76ers,0,2.0,Friday,January,0,17007.0
1990-01-05,4,2,0.5925925925925926,0.4533333333333333,12884.0,12884.0,12884.0,Portland Trail Blazers,Utah Jazz,0,3.0,Friday,January,0,12884.0
1990-01-05,4,3,0.5862068965517241,0.6987951807228916,21454.0,21454.0,21545.0,Detroit Pistons,Indiana Pacers,0,2.0,Friday,January,0,21454.0
1990-01-06,2,7,0.1851851851851852,0.3472222222222222,17014.0,17014.0,17017.0,Sacramento Kings,Portland Trail Blazers,0,1.0,Saturday,January,0,17014.0
1990-01-06,4,3,0.6666666666666666,0.6987951807228916,21454.0,21454.0,21545.0,Detroit Pistons,New York Knicks,0,3.0,Saturday,January,0,21454.0
1990-01-06,5,3,0.7692307692307693,0.6790123456790124,15025.0,15025.0,15025.0,Golden State Warriors,Los Angeles Lakers,0,4.0,Saturday,January,0,15025.0
1990-01-06,8,8,0.56,0.1891891891891892,14989.0,14989.0,16616.0,Houston Rockets,Philadelphia 76ers,0,2.0,Saturday,January,0,16611.0
1990-01-07,1,4,0.68,0.6103896103896104,18212.0,16420.0,18212.0,New York Knicks,Los Angeles Clippers,0,3.0,Sunday,January,0,17491.0
1990-01-07,2,5,0.21428571428571427,0.6987951807228916,17505.0,17505.0,17506.0,Los Angeles Lakers,Miami Heat,0,0.0,Sunday,January,0,17505.0
1990-01-08,7,2,0.17857142857142858,0.4533333333333333,12884.0,12884.0,12884.0,Portland Trail Blazers,Sacramento Kings,0,1.0,Monday,January,0,12884.0
