,train_rmse,train_rmse,test_rmse,test_rmse
,mean,std,mean,std
sizes,,,,
509,61.5,,2675.3,
1018,123.3,,2810.7,
1527,188.4,,2843.3,
1654,198.8,,2742.8,
2036,236.9,,2244.4,
2545,293.2,,2130.6,
2800,316.8,,2376.3,
3309,358.1,,2440.9,
3945,429.8,,2277.7,
4963,524.7,,2048.7,
5091,530.0,,2193.8,
5600,567.8,,2328.2,
6618,655.1,,1899.8,
7891,738.7,,2387.2,
8272,777.3,,2236.4,
8400,789.0,,2220.0,
10182,925.4,,2341.8,
11200,996.4,,2064.0,
11836,1024.8,,2258.6,
14000,1110.0,,2043.9,
15273,1144.9,,1926.1,
15782,1151.6,,1818.1,
19727,1188.9,,1548.4,
20364,1195.8,,1559.6,
25455,1220.5,,1304.7,
